aggregated_crossings_id,barrier_id,internal_name,crossing_source,crossing_feature_type,crossing_type_code,barrier_status,transport_line_structured_name_1,rail_track_name,blue_line_key,watercourse_name,road_name,structure_type,structure_owner,private_owner_details,structure_list_status,assessment_type_completed,reason_for_exclusion,method_of_exclusion,partial_passability,partial_passability_notes,upstream_habitat_quality,constructability,estimated_cost_$,priority,type_of_rehabilitation,rehabilitated_by,rehabilitated_date,estimated_rehabilitation_cost_$,actual_project_cost_$,next_steps,timeline_for_next_steps,lead_for_next_steps,others_involved_in_next_steps,reason,notes,supporting_links,modelled_crossing_id,pscis_status,crossing_subtype_code,pscis_road_name,pscis_stream_name,pscis_assessment_comment,pscis_assessment_date,dam_name,dam_height,dam_owner,dam_use,dam_operating_status,utm_zone,utm_easting,utm_northing,downstream_route_measure,wscode,localcode,watershed_group_code,gnis_stream_name,barriers_anthropogenic_dnstr,barriers_anthropogenic_dnstr_count,barriers_anthropogenic_habitat_wcrp_upstr,barriers_anthropogenic_habitat_wcrp_upstr_count,barriers_ch_cm_co_pk_sk_dnstr,barriers_st_dnstr,barriers_wct_dnstr,ch_spawningrearing_km,ch_spawningrearing_belowupstrbarriers_km,sk_spawningrearing_km,sk_spawningrearing_belowupstrbarriers_km,all_spawningrearing_km,all_spawningrearing_belowupstrbarriers_km,ch_spawningrearing_set_id,ch_spawningrearing_total_hab_gain_set,ch_spawningrearing_num_barriers_set,ch_spawningrearing_avg_gain_per_barrier,ch_spawningrearing_dnstr_set_ids,ch_spawningrearing_rank_avg_gain_per_barrier,ch_spawningrearing_rank_avg_gain_tiered,ch_spawningrearing_rank_total_upstr_hab,ch_spawningrearing_rank_combined,ch_spawningrearing_tier_combined,sk_spawningrearing_set_id,sk_spawningrearing_total_hab_gain_set,sk_spawningrearing_num_barriers_set,sk_spawningrearing_avg_gain_per_barrier,sk_spawningrearing_dnstr_set_ids,sk_spawningrearing_rank_avg_gain_per_barrier,sk_spawningrearing_rank_avg_gain_tiered,sk_spawningrearing_rank_total_upstr_hab,sk_spawningrearing_rank_combined,sk_spawningrearing_tier_combined,all_spawningrearing_set_id,all_spawningrearing_total_hab_gain_set,all_spawningrearing_num_barriers_set,all_spawningrearing_avg_gain_per_barrier,all_spawningrearing_dnstr_set_ids,all_spawningrearing_rank_avg_gain_per_barrier,all_spawningrearing_rank_avg_gain_tiered,all_spawningrearing_rank_total_upstr_hab,all_spawningrearing_rank_combined,all_spawningrearing_tier_combined,label_in_wcrp
1024726974,,,MODELLED CROSSINGS,RAIL,OBS,PASSABLE,,None,356356310,,,,,,,,,,,,,,,,,,,,,,,,,,,,24726974,,,,,,,,,,,,10,375998,6081023,4744.145056,100.567134.179319.815989.418407,100.567134.179319.815989.418407,UTRE,,,0,,,,,,0.39,0.39,0,0,0.39,0.39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,no
1024741607,,,MODELLED CROSSINGS,"ROAD, RESOURCE/OTHER",OBS,PASSABLE,,,356359054,,,,,,,,,,,,,,,,,,,,,,,,,,,,24741607,,,,,,,,,,,,9,686336,6169668,10518.67649,100.567134.179319.815989.532920.881436,100.567134.179319.815989.532920.881436.367349,TAKL,,1200000035;204008;204010;1020000184,4,203996,1,,,,8.7,1.96,0,0,8.7,1.96,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,no
1200000012,1200000012,Paula Cr beaver dam 1 (1200000012),USER_CROSSINGS_MISC,"ROAD, RESOURCE/OTHER",OTHER,BARRIER,,,356327433,Paula Creek,n/a,Other,,,,,,,,,,,,,,,,,,Barrier assessment (data deficient structures only),,,,,,,,,BEAVER_DAM,,,,,,,,,,10,346091,6073390,2535,100.567134.179319.815989.780459,100.567134.179319.815989.780459,UTRE,Paula Creek,,0,1024200019;1200000017,2,,,,10,0.86,5.22,0.87,10,0.86,8992,8.31,2,4.155,,7,7,4,6,A,3412,5.22,2,2.61,,9,9,6,8,A,2792,8.31,2,4.155,,9,9,7,8,A,yes
1200000013,1200000013,Tarnezell Cr beaver dam (1200000013),USER_CROSSINGS_MISC,"ROAD, RESOURCE/OTHER",OTHER,BARRIER,,,356353424,Tarnezell Creek,n/a,Other,,,,,,,,,,,,,,,,,,Barrier assessment (data deficient structures only),,,,,,,,,BEAVER_DAM,,,,,,,,,,10,367659,6077522,3367,100.567134.179319.815989.501334,100.567134.179319.815989.501334.095071,UTRE,Tarnezell Creek,,0,,,,,,8.86,8.86,16.5,16.5,24.32,24.32,3412,8.86,1,8.86,,4,4,6,4,A,3722,16.5,1,16.5,,3,3,3,3,A,3412,24.32,1,24.32,,2,2,2,2,A,yes
1200000014,1200000014,Van Decar Cr log jam (1200000014),USER_CROSSINGS_MISC,"ROAD, RESOURCE/OTHER",OTHER,BARRIER,,,356328051,Van Decar Creek,n/a,Other,,,,,,,,,,,,,,,,,,Barrier assessment (data deficient structures only),,,,,,,,,LOG_JAM,,,,,,,,,,10,349128,6091898,2550,100.567134.179319.815989.532920.184512,100.567134.179319.815989.532920.184512.191664,MIDR,Van Decar Creek,,0,,,,,,0,0,2.76,2.76,2.76,2.76,3722,0,1,0,,,,,,,312,2.76,1,2.76,,7,7,10,9,A,3722,2.76,1,2.76,,11,11,13,13,B,yes
1200000015,1200000015,Crow Creek log jam (12000000015),USER_CROSSINGS_MISC,"ROAD, RESOURCE/OTHER",OTHER,BARRIER,,,356362032,Crow Creek,n/a,Other,,,,,,,,,,,,,,,,,,Barrier assessment (data deficient structures only),,,,,,,,,LOG_JAM,,,,,,,,,,10,310190,6130858,26650,100.567134.179319.815989.532920.448305,100.567134.179319.815989.532920.448305,TAKL,,,0,,,,,,0,0,0.1,0.1,0.1,0.1,4032,0,1,0,,,,,,,4032,0.1,1,0.1,,16,20,17,15,B,4032,0.1,1,0.1,,20,28,21,20,B,yes
1200000016,1200000016,Glusky Cr beaver dam (SAK-1/1200000016),USER_CROSSINGS_MISC,"ROAD, RESOURCE/OTHER",OTHER,BARRIER,,,356293242,Tributary to Takla Lake,900 Road,Other,,,Priority barrier,Barrier assessment,,,,,,,,,,,,,,Rehabilitation,,,,Beaver dam regularly modified to maintain passage during spawning period,Salmon carcasses observed both upstream and downstream of dam when assessed in 2025.,,,,BEAVER_DAM,,,,,,,,,,10,339400,6103926,449,100.567134.179319.815989.532920.309568,100.567134.179319.815989.532920.309568,MIDR,,,0,,,,,,9.31,9.31,2.71,2.71,10.62,10.62,4342,9.31,1,9.31,,3,3,5,3,A,4342,2.71,1,2.71,,8,8,11,11,B,4342,10.62,1,10.62,,4,4,5,4,A,yes
1200000017,1200000017,Paula Cr beaver dam 2 (1200000017),USER_CROSSINGS_MISC,"ROAD, RESOURCE/OTHER",OTHER,BARRIER,,,356327433,Paula Creek,n/a,Other,,,,,,,,,,,,,,,,,,Barrier assessment (data deficient structures only),,,,,,,,,BEAVER_DAM,,,,,,,,,,10,345749,6074036,3400,100.567134.179319.815989.780459,100.567134.179319.815989.780459,UTRE,Paula Creek,1200000012,1,1024200019,1,,,,9.14,7.45,4.35,4.35,9.14,7.45,8992,8.31,2,4.155,,7,7,4,6,A,3412,5.22,2,2.61,,9,9,6,8,A,2792,8.31,2,4.155,,9,9,7,8,A,yes
1200000018,1200000018,Sandpoint Cr beaver dam (1200000018),USER_CROSSINGS_MISC,"ROAD, RESOURCE/OTHER",OTHER,BARRIER,,,356338407,Sandpoint Creek,n/a,Other,,,,,,,,,,,,,,,,,,Barrier assessment (data deficient structures only),,,,,,,,,BEAVER_DAM,,,,,,,,,,10,329972,6112020,450,100.567134.179319.815989.532920.406879,100.567134.179319.815989.532920.406879,MIDR,,,0,,,,,,4.73,4.73,4.53,4.53,4.78,4.78,4962,4.73,1,4.73,,6,6,9,8,A,4962,4.53,1,4.53,,5,5,8,5,A,4962,4.78,1,4.78,,8,8,12,10,A,yes
1200000034,1200000034,Tezzeron Cr @ Beaver dam (Inzana FSR) (GER-3/12600461),USER_CROSSINGS_MISC,"ROAD, RESOURCE/OTHER",OTHER,BARRIER,,,356360979,Tezzeron Creek,Inzana FSR,Other,,,Data-deficient barrier,Barrier assessment,,,,,High,,,,,,,,,Barrier assessment (data deficient structures only),,,,Structure is a series of beaver dams and log jams,"Good rearing and spawning potential, high quality habitat.",,,,BEAVER_DAM,,,,,,,,,,10,420959,6087850,74145,100.567134.179319.815989.290384.989223,100.567134.179319.815989.290384.989223.749151,LTRE,Tezzeron Creek,,0,,,,,,4.85,4.85,0,0,4.85,4.85,5272,4.85,1,4.85,,5,5,8,7,A,5272,0,1,0,,,,,,,5272,4.85,1,4.85,,7,7,11,9,A,yes
1200000035,1200000035,Teegee Cr @ Branch off Old Driftwood Rd (TAK-8/20000182),USER_CROSSINGS_MISC,"ROAD, RESOURCE/OTHER",OTHER,BARRIER,,,356359054,Tributary to Takla Lake,Branch off Old Driftwood Road,Other,,,Data-deficient barrier,Barrier assessment,,,,,,,,,,,,,,Barrier reassessment,,,,Assess beaver dam for mitigation options; determine active status,"Suitable spawning gravels, good rearing throughout",,,,BEAVER_DAM,,,,,,,,,,9,686094,6167750,8246,100.567134.179319.815989.532920.881436,100.567134.179319.815989.532920.881436.227302,TAKL,,204008;204010;1020000184,3,203996,1,,,,10.97,4.23,0,0,10.97,4.23,7442,14.03,5,2.806,,8,8,2,5,A,7444,0,2,0,"[ ""7442"", ""7443"" ]",,,,,,8682,14.03,5,2.806,,10,10,4,6,A,yes
124602,,,PSCIS,"ROAD, RESOURCE/OTHER",OBS,PASSABLE,Germansen Landing Rd,,356357268,,,,,,,,,,,,,,,,,,,,,,,,,,,,24714970,ASSESSED,BRIDGE,North Road,Unnamed tributary to Tezzeron Creek,Unknown fish status.,7/14/2013,,,,,,10,426129,6084380,2719,100.567134.179319.815989.290384.989223.621436,100.567134.179319.815989.290384.989223.621436.089169,LTRE,,,0,,,,,,11.67,11.67,0,0,11.67,11.67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,no
124601,124601,Cripple Cr @ Germansen Lndg (124601),PSCIS,"ROAD, RESOURCE/OTHER",CBS,BARRIER,Germansen Landing Rd,,356284147,Cripple Creek,Germansen Landing,Stream crossing - CBS,,,Data-deficient barrier,Barrier assessment,,,,,Medium,,,,,,,,,Habitat confirmation (data deficient structures only),,,,"Barrier, beaver dams at inlet add to obstacles. ","High rearing potential, some potentially suitable spawning substrate observed, possibly more neaby.",,12600010,ASSESSED,ROUND,Germansen Landing,Cripple Creek,"CBS-rated as barrier. There are two culverts, both have beaver dam or beaver placed woody debris on inlet likely making culverts even more of a barrier. Two cvts.of ~equal elevation (LB measured - diameters totalled). RB cv. Bent down in center at inlet. Deeper DS - more pools. Access: parked truck at cripple Lak Rec site and walked ~700m to site. Broken beaver dam at inlet. High rearing potential, some potentially suitable spawning substrate observed with possibility for more nearby. Some undercut banks, lots of minnows observed. Reccomneded fix of OBS due to beaver presence.",8/15/2025,,,,,,10,426694,6082053,482,100.567134.179319.815989.290384.989223.611546,100.567134.179319.815989.290384.989223.611546,LTRE,,,0,,,,,,0.65,0.65,0,0,0.65,0.65,5892,0.65,1,0.65,,13,12,13,12,B,5892,0,1,0,,,,,,,5892,0.65,1,0.65,,17,16,17,16,B,yes
124608,,,PSCIS,"ROAD, RESOURCE/OTHER",OBS,PASSABLE,Germansen Landing Rd,,356310035,,,,,,,,,,,,,,,,,,,,,,,,,,,,12600005,ASSESSED,BRIDGE,North Road,Unnamed tributary to Tezzeron Creek,"Documented BB, RB, NSC.",7/14/2013,,,,,,10,419492,6091980,2702,100.567134.179319.815989.290384.989223.819277,100.567134.179319.815989.290384.989223.819277.148122,LTRE,,1200000034,1,,,,,,0.1,0.1,0,0,0.1,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,no
